,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
32,bacteriology,'The science and study of bacteria.','the scientific study of bacteria',6,5,The study of tiny living things,6,0.77436674
33,banking,Transactional business between any bank and that bank's clients or customers.,'the business activity of banks',11,5,the work banks do,4,0.746282
34,barium,'A soft silvery-white metallic element of the alkaline earth group. It has the symbol Ba and atomic number 56. It is used in bearing alloys and compounds are used as pigments.','a chemical element. Barium is a soft silver-white metal',31,9,Barium is a soft shiny white thing,7,0.7657837
35,beetle,'Any insect of the order Coleoptera having biting mouthparts and forewings modified to form shell-like protective elytra.','an insect often large and black with a hard case on its back covering its wings. There are several types of beetle.',17,22,A beetle is a big black bug with hard wings on its back to keep it safe There are many kinds of beetles,23,0.8691038
36,benzene,'A colorless liquid flammable aromatic hydrocarbon used to manufacture styrene and phenol. Also known as benzol.','a clear liquid obtained from petroleum and coal tar used in making plastics and many chemical products',16,17,A clear liquid from oil and coal used to make plastic and many other things,15,0.85666966
37,beryllium,'A corrosion-resistant toxic silvery-white metallic element that occurs chiefly in beryl and is used mainly in x-ray windows and in the manufacture of alloys. Symbol: Be atomic number: 4.','a chemical element. Beryllium is a hard grey metal found mainly in the mineral beryl.',29,15,Beryllium is a hard gray metal mostly found in a kind of rock called beryl,15,0.85061467
38,beverage,'Any one of various liquids for drinking.','any type of drink except water',7,6,any kind of drink but not water,7,0.8360048
39,bicycle,'A vehicle with two wheels in tandem pedals connected to the rear wheel by a chain handlebars for steering and a saddlelike seat.','a road vehicle with two wheels that you ride by pushing the pedals with your feet',23,16,A bike has two wheels and you make it go by using your feet to push the pedals,18,0.876423
40,biodiversity,'Number and variety of living organisms; includes genetic diversity species diversity and ecological diversity.','the existence of a large number of different kinds of animals and plants which make a balanced environment',14,18,Many different animals and plants live together to make nature happy,11,0.723392
41,bioethics,'The study of ethical problems arising from biological research and its applications in such fields as organ transplantation genetic engineering or artificial insemination.','the moral principles that influence research in medicine and biology',23,10,The good rules that help people study health and living things,11,0.7455226
42,biogas,'Gas rich in methane which is produced by the fermentation of animal dung human sewage or crop residues in an air-tight container.','gas especially methane that is produced by dead plants and that can be burned to produce heat',22,17,Gas like methane comes from old plants and can be burned to make heat,14,0.8924076
43,bioluminescence,'The production of light of various colors by living organisms e.g. some bacteria and fungi glow-worms and many marine animals).','the natural production of light by living creatures such as glow-worms',20,11,Some small animals like glowworms make their own light,9,0.7295321
44,biophysics,'The science involving the application of physical principles and methods to study and explain the structures of living organisms and the mechanics of life processes.','the science that uses the laws and methods of physics to study biology',25,13,The way we use rules and ideas from physics to learn about living things,14,0.8399173
45,biorhythm,'A cyclically recurring pattern of physiological states in an organism or organ such as alpha rhythm or circadian rhythm; believed by some to affect physical and mental states and behaviour.','the changing pattern of how physical processes happen in the body which some people believe affects human behaviour',30,18,Some people think the way things change in our body can change how we act,15,0.8224573
46,biosphere,'That part of the Earth and atmosphere capable of supporting living organisms.','the part of the earth’s surface and atmosphere in which plants and animals can live',12,15,The place on Earth where plants and animals can live,10,0.84618044
47,biotechnology,'A combination of biology and technology. It is used to describe developments in the application of biological organisms for commercial and scientific purposes.','the use of living cells and bacteria in industrial and scientific processes',23,12,Using little living cells and good bacteria to do work in science and factories,14,0.774511
48,boating,'To travel or go in a boat as a form of recreation.','the activity of using a small boat for pleasure',12,9,Using a little boat for fun,6,0.7134902
49,boiler,'An enclosed vessel in which water is heated and circulated either as hot water or as steam for heating or power.','a container in which water is heated to provide hot water and heating in a building or to produce steam in an engine',21,23,A big pot used to make water hot for heating or to make steam for machines,16,0.8491773
50,bookkeeping,'The art or science of recording business accounts and transactions.','the job or activity of keeping an accurate record of the accounts of a business',10,15,Keeping track of money for a business,7,0.7681998
51,boron,'A very hard almost colourless crystalline metalloid element that in impure form exists as a brown amorphous powder. It occurs principally in borax and is used in hardening steel.','a chemical element. Boron is a solid substance used in making steel alloys and parts for nuclear reactors.',29,18,Boron is a solid thing that helps make strong metal and parts for big power machines,16,0.7781861
52,botany,'A branch of the biological sciences which embraces the study of plants and plant life.','the scientific study of plants and their structure',15,8,the study of plants and how they are made,9,0.8450611
53,bromine,'A pungent dark red volatile liquid element (symbol Br atomic number 35) of the halogen series that occurs in brine and is used in the production of chemicals.','a chemical element. Bromine is a dark red poisonous liquid and has a very strong unpleasant smell. It is mainly found in the form of salts in seawater.',28,28,Bromine is a dark red liquid that smells bad and can be dangerous It is mostly found in the sea as salts,22,0.8474467
54,brooding,'Incubating eggs by sitting on them.','sad and mysterious or threatening',6,5,bad and scary or frightening,5,0.68731165
55,cadmium,'Chemical element with symbol Cd and atomic number 48 silvery gray transition metal.','a chemical element. Cadmium is a soft poisonous blue-white metal that is used in batteries and nuclear reactors.',13,18,Cadmium is a soft dangerous metal used in batteries,9,0.78463614
56,calcium,'A malleable silvery-white metallic element of the alkaline earth group with symbol Ca and atomic number 20; the fifth most abundant element in the earth crust occurring especially as forms of calcium carbonate. It is an essential constituent of bones and teeth and is used as a deoxidizer in steel.','a chemical element. Calcium is a soft silver-white metal that is found in bones teeth and chalk.',50,17,Calcium is a soft silverwhite thing found in bones teeth and chalk,12,0.8448043
57,carbonate,'A salt or ester of carbonic acid.','a salt that contains carbon and oxygen together with another chemical',7,11,A salt that has carbon and oxygen with another thing,10,0.82292676
58,cardiology,'The branch of medicine that studies the heart.','the study and treatment of heart diseases',8,7,Learning and helping with heart problems,6,0.6352831
59,carnivore,'An animal that eats meat.','any animal that eats meat',5,5,any creature that eats meat,5,0.8490881
60,cartography,'The making of maps and charts for the purpose of visualizing spatial distributions over various areas of the earth.','the art or process of drawing or making maps',19,9,Making pictures of places or maps,6,0.7629732
61,catalysis,'A phenomenon in which a relatively small amount of substance augments the rate of a chemical reaction without itself being consumed.','an increase in the rate of a chemical reaction that is cause by a substance called a catalyst',21,18,A catalyst makes a chemical reaction go faster,8,0.782176
62,cation,'A positively charged atom or group of atoms or a radical which moves to the negative pole (cathode) during electrolysis.','an ion with a positive electrical charge',20,7,A little thing with a happy electrical charge,8,0.688138
63,cattle,'Domesticated bovine animals including cows steers and bulls raised and bred on a ranch or farm.','cows and bulls that are kept as farm animals for their milk or meat',16,14,Cows and bulls live on farms to give us milk or meat,12,0.8598037
64,cave,'1) An underground hollow with access from the ground surface or from the sea often found in limestone areas and on rocky coastlines.\2) A natural cavity chamber or recess which leads beneath the surface of the earth generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus caves worn by subterranean rivers may be different in character from and of considerably greater extent than a sea-cave eroded by marine waves.\3) A natural underground open space generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution.','a large hole in the side of a hill or cliff or under the ground',139,15,A big hole in the side of a hill or cliff or underground,13,0.9138113
65,cephalopod,'Exclusively marine animals constituting the most advanced class of the Mollusca including squid octopuses and Nautilus.','a type of mollusc with a combined head and body and large eyes. Cephalopods have arms and/or tentacles (= long thin parts like arms) which may have suckers (= round parts that enable them to stick to a surface) on them. Octopus and squid are cephalopods.',16,46,An animal with a mixed head and body and big eyes It has arms like a long thin hand Octopuses and squid are these animals,25,0.8078799
66,cetacean,'Order of aquatic mammals including the whales dolphins and porpoises.','connected with the group of creatures that includes whales and dolphins',10,11,part of the group of animals like whales and dolphins,10,0.7963456
67,chloride,'A compound which is derived from hydrochloric acid and contains the chlorine atom in the -1 oxidation state.','a compound of chlorine and another chemical element',18,8,Something called chlorine mixed with another thing,7,0.80389917
68,chlorination,'The application of chlorine to water sewage or industrial wastes for disinfection or other biological or chemical purposes.','the act of putting chlorine in something especially water',18,9,Putting a special thing called chlorine in water,8,0.8276553
69,chlorine,'A very reactive and highly toxic green gaseous element belonging to the halogen family of substances with symbol Cl and atomic number 17.','a chemical element. Chlorine is a poisonous green gas with a strong smell. It is often used in swimming pools to keep the water clean.',23,25,Chlorine is a green gas with a strong smell that people use in pools to make the water clean,19,0.8920585
70,chlorofluorocarbon,'Gases formed of chlorine fluorine and carbon whose molecules normally do not react with other substances; they are therefore used as spray can propellants because they do not alter the material being sprayed.','a CFC; a compound containing carbon fluorine and chlorine that is harmful to the ozone layer',33,16,A CFC is a mix of special gases that can hurt the sky,13,0.7323643
71,chlorophyll,'A green pigment present in algae and higher plants that absorbs light energy and thus plays a vital role in photosynthesis.','the green substance in plants that takes in light from the sun to help them grow',21,16,The green stuff in plants that takes in sunlight to help them grow,13,0.9001402
72,chromatography,'A method of separating and analyzing mixtures of chemical substances by selective adsorption in a column of powder or on a strip of paper.','the process of separating a mixture by passing it through a material through which some parts of the mixture travel further than others',24,23,You can use a special material to sort a mix so some parts go further than others,17,0.76283026
73,chromium,'A hard grey metallic element that takes a high polish occurring principally in chromite: used in steel alloys and electroplating to increase hardness and corrosion-resistance.','a chemical element. Chromium is a hard grey metal that shines brightly when polished (= made smooth and shiny by being rubbed) and is often used to cover other metals in order to prevent them from rusting.',25,37,Chromium is a shiny grey metal that is often put on other metals to stop them from rusting,18,0.8987547
74,climatology,'That branch of meteorology concerned with the mean physical state of the atmosphere together with its statistical variations in both space and time as reflected in the weather behaviour over a period of many years.','the scientific study of climate',35,5,The study about weather,4,0.7663655
75,coagulation,'A separation or precipitation from a dispersed state of suspended particles resulting from their growth.','the process of a liquid becoming thick and partly solid',15,10,When a liquid gets thick and partly solid,8,0.8068497
76,coating,'A material applied onto or impregnated into a substrate for protective decorative or functional purposes. Such materials include but are not limited to paints varnishes sealers adhesives thinners diluents and inks.','a thin layer of a substance covering a surface',31,9,A thin thing covering something,5,0.7705002
77,cockroach,'The most primitive of the living winged insects.','a large brown insect with wings that lives in houses especially where there is dirt',8,15,A big brown bug with wings lives in dirty houses,10,0.84855723
78,compost,'A mixture of decaying organic matter used to fertilize and condition the soil.','a mixture of decayed (= destroyed by natural processes) plants food etc. that can be added to soil to help plants grow',13,22,A mix of old plants and food pieces that can be put in dirt to help plants grow,18,0.843472
79,compressor,'A device that produces pressure.','a machine that compresses air or other gases',5,8,A machine that makes air or gas smaller,8,0.8156649
80,conductivity,'The ratio of the electric current density to the electric field in a material.','the quality of being able to conduct electricity heat etc.',14,10,The ability to let things like electricity or heat pass through,11,0.7504089
81,conifer,'An order of conebearing plants which includes nearly all the present day Gymnospermae. Most are tall evergreen trees with needle-like (e.g. pines) linear (e.g. firs) or scale-like (e.g. cedars) leaves. They are characteristic of temperate zones and the main forest trees of colder regions. They provide timber resins tars turpentine and pulp for paper.','any tree that produces hard dry fruit called cones. Most conifers are evergreen (= have leaves that stay on the tree all year).',54,23,A tree that makes dry fruit called cones Many stay green all year,13,0.86021036
82,coppice,'A growth of small trees that are repeatedly cut down at short intervals; the new shoots are produced by the old stumps.','to cut back young trees in order to make them grow faster',22,12,Cut little trees to help them grow fast,8,0.82743347
83,corrosion,'A process in which a solid especially a metal is eaten away and changed by a chemical action.','the process of destroying something slowly especially by chemical action; the condition that results from this process',18,17,The slow way things break down like how chemicals can make them go away,14,0.70810574
84,criminality,'A violation of the law punishable by the State in criminal proceedings.','the fact of people being involved in crime; criminal acts',12,10,When people do bad things like stealing or hurting others,10,0.6739085
85,crustacean,'A subphylum of arthropod animals having jointed feet and mandibles two pairs of antennae and segmented chitin-encased bodies.','any creature with a soft body that is divided into sections and a hard outer shell. Most crustaceans live in water. Crabs lobsters and shrimps are all crustaceans.',18,28,Crustaceans are animals with soft bodies and hard shells that live in water Crabs lobsters and shrimps are crustaceans,19,0.894855
86,crystallography,'The branch of science that deals with the geometric description of crystals and their internal arrangement.','the branch of science that deals with crystals',16,8,The study of shiny rocks,5,0.7237705
87,curriculum,'The aggregate of courses of study provided in a particular school college university adult education program technical institution or some other educational program.','the subjects that are included in a course of study or taught in a school college etc.',23,17,The things you learn in school or college,8,0.7119423
88,cytology,'A branch of the biological sciences which deals with the structure behaviour growth and reproduction of cells and the functions and chemistry of cell components.','the scientific study of the structure and function of cells from living things',25,13,The study of how tiny parts inside living things work and are built,13,0.7961632
89,dating,'An estimation of the age of an artifact biological vestige linguistic usage etc.','the activity of having a romantic relationship with somebody or meeting people who you might in future have a romantic relationship with ',13,23,The time when you go out with someone you like or meet people you might like later,17,0.81067336
90,decontamination,'The removing or neutralizing of chemical biological or radiological contamination from a person object or area.','the process of removing harmful substances from a place or thing',16,11,Taking bad stuff away from a place or thing,9,0.81077266
91,deer,'The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.','an animal with long legs that eats grass leaves etc. and can run fast. Most male deer have antlers (= parts on their heads that are like branches in shape). There are many types of deer.',21,36,A deer is an animal with long legs that likes to eat grass and leaves and it can run fast Most boy deer have antlers on their heads that look like branches There are many kinds of deer,38,0.9178331
92,defoliation,'The drop of foliage from plants caused by herbicides such as Agent Orange diuron triazines all of which interfere with photosynthesis.','the act of destroying the leaves of trees or plants especially with chemicals',21,13,Taking away tree leaves with stuff like sprays,8,0.76250565
93,deforestation,'The removal of forest and undergrowth to increase the surface of arable land or to use the timber for construction or industrial purposes.','the act of cutting down or burning the trees in an area',23,12,Cutting or burning the trees in a place,8,0.8394426
94,dendrochronology,'The science of dating the age of a tree by studying annual growth rings.','the study of the rings that appear each year in tree trunks used as a way of calculating the dates of particular events',14,23,Each year a tree gets a ring and people can use these rings to find out when things happened,19,0.75840396
95,denitrification,'The loss of nitrogen from soil by biological or chemical means.','the process of removing nitrates or nitrites from something especially from soil air or water',11,15,Taking away bad stuff from dirt air or water,9,0.7262255
96,deregulation,'The removal or relaxation of government control over the economic activities of some commercial entity industry or economic sector.','the process of making a trade business activity etc. free from rules and controls ',19,15,Making trade and business free from rules and controls,9,0.84902126
97,desertification,'The development of desert conditions as a result of human activity or climatic changes.','the process of becoming or making something a desert',14,9,Making a place dry like a desert,7,0.8028543
98,detector,'A mechanical electrical or chemical device that automatically identifies and records or registers a stimulus such as an environmental change in pressure or temperature an electrical signal or radiation from a radioactive material.','a piece of equipment for discovering the presence of something such as metal smoke explosives or changes in pressure or temperature',33,21,A tool that finds metal smoke or changes in temperature,10,0.84961885
99,dioxin,'A heterocyclic and aromatic molecule where two carbon atoms have been substituted by oxygen atoms.','a chemical (with a ring structure containing two oxygen atoms) that is formed as a result of some industrial processes. Dioxins are toxic (= poisonous) and cause harm to the environment.',15,31, Dioxins are bad chemicals made in some factories and they hurt nature,12,0.7360331
100,disinfectant,'An agent such as heat radiation or a chemical that disinfects by destroying neutralizing or inhibiting the growth of disease-carrying microorganisms.','a substance that kills bacteria used for cleaning',21,8,A thing that makes germs go away is used for cleaning,11,0.8122631
101,dispersion,'A distribution of finely divided particles in a medium.','the process by which people or things are spread over a wide area',9,13,The way people or things are moved all around a big place,12,0.80395985
102,ditch,'A long narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway channel or trench for conveying water for drainage or irrigation and usually smaller than a canal. Some ditches may be natural watercourses.','a long channel dug at the side of a field or road to hold or take away water',38,18,A long ditch made at the side of a field or road to take water away,16,0.8848777
103,dosage,'The amount of a substance required to produce an effect.','the amount of a medicine or drug that is taken regularly and how often it is taken',10,17,The set amount of medicine you take each time and how many times you take it,16,0.86423206
104,dragonfly,'Any of the insects composing six families of the suborder Anisoptera and having four large membranous wings and compound eyes that provide keen vision.','an insect with a long thin body often brightly coloured and two pairs of large transparent wings. Dragonflies are often seen over water.',24,23,A bug with a long skinny body usually bright colors and two big seethrough wings Dragonflies are often seen near water,21,0.8464569
105,dune,'A low mound ridge bank or hill of loose windblown granular material (generally sand sometimes volcanic ash) either bare or covered with vegetation capable of movement from place but always retaining its characteristic shape.','a small hill of sand formed by the wind near the sea or in a desert',34,16,A little hill of sand made by the wind near the sea,12,0.8499596
106,earthquake,'The violent shaking of the ground produced by deep seismic waves originating from the epicentre.','a sudden violent shaking of the earth’s surface',15,8,A quick strong shake of the ground happened,8,0.70453167
107,earthworm,'Any of numerous oligochaete worms of the suborder Lumbricina which burrow in the soil and help aerate and break up the ground.','a common long thin worm that lives in soil',22,9,A little thin worm that lives in dirt,8,0.82440054
108,earwig,'Any of various insects of the order Dermaptera which typically have an elongated body with small leathery forewings semicircular membranous hindwings and curved forceps at the tip of the abdomen.','a small brown insect with a long body and two curved pointed parts called pincers that stick out at the back end of its body',30,25,A little brown bug with a long body and two pointy parts like pinchers at the back,17,0.8803711
109,ecology,'The study of the interrelationships between living organisms and their environment.','the relation of plants and living creatures to each other and to their environment; the study of this',11,18,Plants and animals live and work together in their home,10,0.66671145
110,ecosystem,'A community of organisms and their physical environment interacting as an ecological unit.','all the plants and living creatures in a particular area considered in relation to their physical environment',13,17,All the plants and animals living together with their surroundings,10,0.7356714
111,ecotourism,'Excursions to relatively untouched lands which for the tourist promise the chance to observe unusual wildlife and indigenous inhabitants.','organized holidays that are designed so that the tourists damage the environment as little as possible especially when some of the money they pay is used to protect the local environment and animals',19,33,Holidays are planned to make sure people dont hurt nature too much and some money helps protect local nature and animals,21,0.8321437
112,ecotype,'Species that has special characteristics which allow it to live in a certain habitat.','the type or race of a plant or animal that has adapted to live in particular local conditions',14,18,A kind of plant or animal that has changed to live well in certain places,15,0.83847535
113,effluent,'Liquid waste or sewage discharged into a river or the sea.','liquid waste especially chemicals produced by factories or sewage',11,9,Liquid waste like chemicals made by factories or sewage,9,0.9109591
114,elasticity,'Ability of a material to return to original dimensions after deformation.','the quality that something has of being able to stretch and return to its original size and shape (= of being elastic)',11,22,Elastic things can stretch and then go back to their original shape,12,0.83398974
115,emancipation,'The state of being free from social or political restraint or from the inhibition of moral or social conventions.','the act of freeing somebody especially from legal political or social controls that limit what they can do',19,18,The act of letting someone do things without rules stopping them,11,0.7793302
116,endocrinology,'The study of the endocrine glands and the hormones that they synthesize and secrete.','the branch of medicine that is the study of the endocrine system and hormones',14,14,It is the part of medicine that looks at how glands and hormones work,14,0.8212063
117,enforcement,'The execution carrying out or putting into effect an order regulation law or official decree.','the act of making people obey a particular law or rule',15,11,Make people follow a rule or law,7,0.8279185
118,enzyme,'Any of a group of catalytic proteins that are produced by living cells and that mediate and promote the chemical processes of life without themselves being altered or destroyed.','a substance that is produced by all living things and that helps a chemical change happen or happen more quickly without being changed itself',29,24,A thing made by all living things that helps a change happen fast without changing itself,16,0.9019919
119,epidemiology,'The study of the occurrence and distribution of disease and injury specified by person place and time.','the scientific study of the spread and control of diseases',17,10,The careful study of how diseases go around and how to stop them,13,0.72362113
120,equine,'An animal belonging to the family of Equidae.','connected with horses; like a horse',8,6,It is like a horse and has to do with horses,11,0.7398932
121,ergonomics,'The study of human capability and psychology in relation to the working environment and the equipment operated by the worker.','the study of working conditions especially the design of equipment and furniture in order to help people work more efficiently',20,20,The study looks at how to make equipment and furniture better so people can work well,16,0.83678854
122,ethnology,'The science that deals with the study of the origin distribution and relations of races or ethnic groups of mankind.','the study of the characteristics of different peoples and the differences and relationships between them',20,15,Learning about different people and how they are alike or different,11,0.69497496
123,eutrophication,'A process of pollution that occurs when a lake or stream becomes over-rich in plant nutrient and as a consequence becomes overgrown in algae and other aquatic plants.','the process of too many plants growing on the surface of a river lake etc. often because chemicals that are used to help crops grow have been carried there by rain',28,31,When lots of plants grow on a lake because farm chemicals get there by rain,15,0.8953427
124,evaluation,'An assessment or a summary of a particular situation.','the act of forming an opinion of the amount value or quality of something after thinking about it carefully',9,19,The act of thinking carefully about how good or valuable something is,12,0.8531674
125,famine,'A severe shortage of food as through crop failure or over population. It may be due to poor harvests following drought floods earthquake war social conflict etc.','a lack of food during a long period of time in a region',27,13,Not enough food for a long time in one place,10,0.73080933
126,fauna,'The entire animal life of a given region habitat or geological stratum.','all the animals living in an area or in a particular period of history',12,14,All the animals that live in one place or during a certain time,13,0.8331476
127,fen,'Waterlogged spongy ground containing alkaline decaying vegetation characterized by reeds that may develop into peat. It sometimes occurs in the sinkholes of karst region.','an area of low flat wet land especially in the east of England',24,13,A low flat wet land like in the east of England,11,0.85263574
128,fermentation,'Any enzymatic transformation of organic substrates especially carbohydrates generally accompanied by the evolution of gas.','the process of chemical change caused by the action of yeast or bacteria often changing sugar to alcohol',15,18,Yeast or tiny bugs can turn sugar into alcohol,9,0.73916864
129,fern,'Any of a large number of vascular plants composing the division Polypodiophyta without flowers and fruits.','a plant with large attractive leaves and no flowers that grows in wet areas or is grown in a pot. There are many types of fern.',16,26,A fern is a plant with big pretty leaves It does not have flowers and grows in wet places or in a pot There are many kinds of ferns,29,0.892403
130,financing,'Procurement of monetary resources or credit to operate a business or acquire assets.','money used to run a business an activity or a project',13,11,Money helps make a business or project go,8,0.8097218
131,flooding,'A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters and/or the unusual and rapid accumulation or runoff of surface waters from any source.','large amounts of water covering an area that is usually dry; the fact of this happening',37,16,Lots of water went over a place that is usually dry,11,0.7740709
132,fluoridation,'The addition of the fluorine ion to municipal water supplies in a final concentration of 0.8-1.6 ppm (parts per million) to help prevent dental caries in children.','the practice of adding fluoride to drinking water to prevent tooth decay (= damage from natural causes or lack of care)',27,21,Some people put fluoride in water to stop teeth from getting bad,12,0.7727367
